Biohazard Outbreak File 2
Yoko voice files = NETBIO01.DAT -> adxsnd.afs -> vo00206.afs

Document created by hill73n
Document status: incomplete
To do: list file size and max space reserved.

vo00206.afs	Yoko
C06_186.adx	"Hey." (NPC female 2)
C06_187.adx	"Hey." (NPC female 2)
C06_188.adx	"Hey." (NPC female 2)
C06_189.adx	"Hey." (NPC female 2)
C06_190.adx	"Sorry." (NPC female 2)
C06_191.adx	"Sorry." (NPC female 2)
C06_192.adx	"Mmm hmm." (NPC female 2)
C06_193.adx	"Mmm hmm." (NPC female 2)
C06_194.adx	"Hmm." (NPC female 2)
C06_195.adx	"Hmm." (NPC female 2)
C06_196.adx	"Yeah." (NPC female 2)
C06_197.adx	"Yeah." (NPC female 2)
