Biohazard Outbreak File 2
David voice files = NETBIO01.DAT -> adxsnd.afs -> vo00204.afs

Document created by hill73n
Document status: incomplete
To do: list file size and max space reserved.

vo00204.afs	David
C04_057.adx	"What happened?"
C04_058.adx	"Are you alright?"
C04_059.adx	"You ok there?"
C04_060.adx	"Got it."
C04_061.adx	"Ok."
C04_062.adx	"I don't know."
C04_063.adx	"Couldn't tell ya."
C04_064.adx	"Hang in there!"
C04_065.adx	"Hang on!"
C04_066.adx	"What do I do now?"
C04_067.adx	"Now what?"
C04_068.adx	"There!"
C04_069.adx	"Over there!"
C04_070.adx	"Why?"
C04_071.adx	"Why?!"
C04_072.adx	"Good."
C04_073.adx	"Nice!"
C04_074.adx	"This is not a good situation."
C04_075.adx	"Things aren't looking goood."
C04_076.adx	"No problem."
C04_077.adx	"Got it covered."
C04_078.adx	"What if...?"
C04_079.adx	"Maybe...?"
C04_080.adx	"Quiet!"
C04_081.adx	"Uhhhh..."
C04_082.adx	"Ahhhh..."
C04_083.adx	"Son of a bitch!"
C04_084.adx	"Jesus!"
C04_085.adx	"Damn it!"
C04_086.adx	"Hnn hnn hnn." (laughing)
C04_087.adx	"Hnnn." (laughing)
C04_088.adx	"Shit!"
C04_089.adx	"Goddamn..."
C04_090.adx	"Great..."
C04_091.adx	(zombie groan)
C04_092.adx	(zombie groan)
C04_093.adx	(cough)
C04_094.adx	(gasp)
C04_095.adx	(choke)
C04_096.adx	(gasp)
C04_097.adx	(gasp)
C04_098.adx	(gasp)
C04_099.adx	(gasp)
C04_100.adx	(scream)
C04_101.adx	(scream)
C04_102.adx	"Huh?"
C04_103.adx	"Hmpf?"
C04_104.adx	(hyperventillating)
C04_105.adx	(hyperventillating)
C04_106.adx	(gasping in pain)
C04_107.adx	(exhausted heavy breathing)
C04_108.adx	(exhausted heavy breathing)
C04_109.adx	(exhausted heavy breathing)
C04_110.adx	(exhausted heavy breathing)
C04_111.adx	(exhausted heavy breathing)

C04_120.adx	"Hey." (NPC female 1)
C04_121.adx	"Mmm hmm." (NPC female 1)
C04_122.adx	"Hmm." (NPC female 1)
C04_123.adx	"Yeah." (NPC female 1)
C04_124.adx	"Hey."  (NPC male 1)
C04_125.adx	"Mmm hmm." (NPC male 1)
C04_126.adx	"Hmm." (NPC male 1)
C04_127.adx	"Yeah." (NPC female 1)
C04_128.adx	"Hey."  (NPC male 2)
C04_129.adx	"Mmm hmm." (NPC male 2)
C04_130.adx	"Hmm." (NPC male 2)
C04_131.adx	"Yeah." (NPC male 2)
C04_132.adx	"Hey."  (NPC male 3)
C04_133.adx	"Mmm hmm." (NPC male 3)
C04_134.adx	"Hmm." (NPC male 3)
C04_135.adx	"Yeah." (NPC male 3)
C04_136.adx	"Hey."  (NPC female 2)
C04_137.adx	"Mmm hmm." (NPC female 2)
C04_138.adx	"Hmm." (NPC female 2)
C04_139.adx	"Yeah." (NPC female 2)
C04_140.adx	"Hey."  (NPC male 4)
C04_141.adx	"Mmm hmm." (NPC male 4)
C04_142.adx	"Hmm." (NPC male 4)
C04_143.adx	"Yeah." (NPC male 4)
C04_144.adx	"Hey."  (NPC male 5)
C04_145.adx	"Mmm hmm." (NPC male 5)
C04_146.adx	"Hmm." (NPC male 5)
C04_147.adx	"Yeah." (NPC male 5)
C04_148.adx	"Hey."  (NPC female 3)
C04_149.adx	"Mmm hmm." (NPC female 3)
C04_150.adx	"Hmm." (NPC female 3)
C04_151.adx	"Yeah." (NPC female 3)
C04_152.adx	"Mama!" (NPC Lucy? Regan's daughter)
C04_153.adx	"Ok." (sad - NPC Lucy? Regan's daughter)
C04_154.adx	"Ok." (confident - Lucy? Regan's daughter)
C04_155.adx	"Thank you." (NPC Lucy? Regan's daughter)

C04_170.adx	"Come on!" (NPC male 5)
C04_171.adx	"Come on!" (NPC male 5)
C04_172.adx	"Go! (NPC male 5)
C04_173.adx	"Go!" (NPC male 5)
C04_174.adx	"Help!" (NPC male 5)
C04_175.adx	"Help!" (NPC male 5)
C04_176.adx	"Thanks!" (NPC male 5)
C04_177.adx	"Thanks!" (NPC male 5)
C04_178.adx	"Wait!" (NPC male 5)
C04_179.adx	"Wait!" (NPC male 5)
C04_180.adx	"Yes." (NPC male 5)
C04_181.adx	"Yes." (NPC male 5)
C04_182.adx	"No." (NPC male 5)
C04_183.adx	"No!" (NPC male 5)
C04_184.adx	"Hey." (NPC male 5)
C04_185.adx	"Hey." (NPC male 5)
C04_186.adx	"Hey." (NPC male 5)
C04_187.adx	"Hey." (NPC male 5)
C04_188.adx	"Hey." (NPC male 5)
C04_189.adx	"Hey." (NPC male 5)
C04_190.adx	"Sorry." (NPC male 5)
C04_191.adx	"Sorry." (NPC male 5)
C04_192.adx	"Mmm hmm." (NPC male 5)
C04_193.adx	"Mmm hmm." (NPC male 5)
C04_194.adx	"Hmm." (NPC male 5)
C04_195.adx	"Hmm." (NPC male 5)
C04_196.adx	"Yeah." (NPC male 5)
C04_197.adx	"Yeah." (NPC male 5)
