Biohazard Outbreak File 2
Cindy voice files = NETBIO01.DAT -> adxsnd.afs -> vo00207.afs

Document created by hill73n
Document status: incomplete
To do: complete transcription; list file size and max space reserved.

vo00207.afs	Cindy
C07_182.adx	"No." (NPC female 3)
C07_183.adx	"No!" (NPC female 3)
C07_184.adx	"Hey." (NPC female 3)
C07_185.adx	"Hey." (NPC female 3)
C07_186.adx	"Hey." (NPC female 3)
C07_187.adx	"Hey." (NPC female 3)
C07_188.adx	"Hey." (NPC female 3)
C07_189.adx	"Hey." (NPC female 3)
C07_190.adx	"Sorry." (NPC female 3)
C07_191.adx	"Sorry." (NPC female 3)
C07_192.adx	"Mmm hmm." (NPC female 3)
C07_193.adx	"Mmm hmm." (NPC female 3)
C07_194.adx	"Hmm." (NPC female 3)
C07_195.adx	"Hmm." (NPC female 3)
C07_196.adx	"Yeah." (NPC female 3)
C07_197.adx	"Yeah." (NPC female 3)
