Biohazard Outbreak File 2
Mark voice files = NETBIO01.DAT -> adxsnd.afs -> vo00201.afs

Document created by hill73n
Document status: incomplete
To do: complete transcription; list file size and max space reserved.

vo00201.afs	Mark
C01_085.adx	"
C01_086.adx	"
C01_087.adx	"
C01_088.adx	"
C01_089.adx	"
C01_090.adx	"
C01_091.adx	(zombie groan)
C01_092.adx	(zombie groan)
C01_093.adx	(cough)
C01_094.adx	(gasp)
C01_095.adx	(choke)
C01_096.adx	(gasp)
C01_097.adx	(gasp)
C01_098.adx	(gasp)
C01_099.adx	(gasp)
C01_100.adx	(scream)
C01_101.adx	(scream)
C01_102.adx	"Huh?"
C01_103.adx	"Hmpf?"
C01_104.adx	(hyperventillating)
C01_105.adx	(hyperventillating)
C01_106.adx	(gasping in pain)
C01_107.adx	(exhausted heavy breathing)
C01_108.adx	(exhausted heavy breathing)
C01_109.adx	(exhausted heavy breathing)
C01_110.adx	(exhausted heavy breathing)
C01_111.adx	(exhausted heavy breathing)

C01_120.adx	"Hey." (NPC female 1)
C01_121.adx	"Mmm hmm." (NPC female 1)
C01_122.adx	"Hmm." (NPC female 1)
C01_123.adx	"Yeah." (NPC female 1)
C01_124.adx	"Hey."  (NPC male 1)
C01_125.adx	"Mmm hmm." (NPC male 1)
C01_126.adx	"Hmm." (NPC male 1)
C01_127.adx	"Yeah." (NPC female 1)
C01_128.adx	"Hey."  (NPC male 2)
C01_129.adx	"Mmm hmm." (NPC male 2)
C01_130.adx	"Hmm." (NPC male 2)
C01_131.adx	"Yeah." (NPC male 2)
C01_132.adx	"Hey."  (NPC male 3)
C01_133.adx	"Mmm hmm." (NPC male 3)
C01_134.adx	"Hmm." (NPC male 3)
C01_135.adx	"Yeah." (NPC male 3)
C01_136.adx	"Hey."  (NPC female 2)
C01_137.adx	"Mmm hmm." (NPC female 2)
C01_138.adx	"Hmm." (NPC female 2)
C01_139.adx	"Yeah." (NPC female 2)
C01_140.adx	"Hey."  (NPC male 4)
C01_141.adx	"Mmm hmm." (NPC male 4)
C01_142.adx	"Hmm." (NPC male 4)
C01_143.adx	"Yeah." (NPC male 4)
C01_144.adx	"Hey."  (NPC male 5)
C01_145.adx	"Mmm hmm." (NPC male 5)
C01_146.adx	"Hmm." (NPC male 5)
C01_147.adx	"Yeah." (NPC male 5)
C01_148.adx	"Hey."  (NPC female 3)
C01_149.adx	"Mmm hmm." (NPC female 3)
C01_150.adx	"Hmm." (NPC female 3)
C01_151.adx	"Yeah." (NPC female 3)
C01_152.adx	"Mama!" (NPC Lucy? Regan's daughter)
C01_153.adx	"Ok." (sad - NPC Lucy? Regan's daughter)
C01_154.adx	"Ok." (confident - Lucy? Regan's daughter)
C01_155.adx	"Thank you." (NPC Lucy? Regan's daughter)

C01_170.adx	"Come on!" (NPC male 2)
C01_171.adx	"Come on!" (NPC male 2)
C01_172.adx	"Go! (NPC male 2)
C01_173.adx	"Go!" (NPC male 2)
C01_174.adx	"Help!" (NPC male 2)
C01_175.adx	"Help!" (NPC male 2)
C01_176.adx	"Thanks!" (NPC male 2)
C01_177.adx	"Thanks!" (NPC male 2)
C01_178.adx	"Wait!" (NPC male 2)
C01_179.adx	"Wait!" (NPC male 2)
C01_180.adx	"Yes." (NPC male 2)
C01_181.adx	"Yes." (NPC male 2)
C01_182.adx	"No." (NPC male 2)
C01_183.adx	"No!" (NPC male 2)
C01_184.adx	"Hey." (NPC male 2)
C01_185.adx	"Hey." (NPC male 2)
C01_186.adx	"Hey." (NPC male 2)
C01_187.adx	"Hey." (NPC male 2)
C01_188.adx	"Hey." (NPC male 2)
C01_189.adx	"Hey." (NPC male 2)
C01_190.adx	"Sorry." (NPC male 2)
C01_191.adx	"Sorry." (NPC male 2)
C01_192.adx	"Mmm hmm." (NPC male 2)
C01_193.adx	"Mmm hmm." (NPC male 2)
C01_194.adx	"Hmm." (NPC male 2)
C01_195.adx	"Hmm." (NPC male 2)
C01_196.adx	"Yeah." (NPC male 2)
C01_197.adx	"Yeah." (NPC male 2)
