Biohazard Outbreak File 2
Kevin voice files = NETBIO01.DAT -> adxsnd.afs -> vo00200.afs

Document created by hill73n
Document status: incomplete
To do: complete transcription; list file size and max space reserved.

vo00200.afs	Kevin
C00_127.adx	"Yeah." (NPC female 1)
C00_128.adx	"Hey."  (NPC male 2)
C00_129.adx	"Mmm hmm." (NPC male 2)
C00_130.adx	"Hmm." (NPC male 2)
C00_131.adx	"Yeah." (NPC male 2)
C00_132.adx	"Hey."  (NPC male 3)
C00_133.adx	"Mmm hmm." (NPC male 3)
C00_134.adx	"Hmm." (NPC male 3)
C00_135.adx	"Yeah." (NPC male 3)
C00_136.adx	"Hey."  (NPC female 2)
C00_137.adx	"Mmm hmm." (NPC female 2)
C00_138.adx	"Hmm." (NPC female 2)
C00_139.adx	"Yeah." (NPC female 2)
C00_140.adx	"Hey."  (NPC male 4)
C00_141.adx	"Mmm hmm." (NPC male 4)
C00_142.adx	"Hmm." (NPC male 4)
C00_143.adx	"Yeah." (NPC male 4)
C00_144.adx	"Hey."  (NPC male 5)
C00_145.adx	"Mmm hmm." (NPC male 5)
C00_146.adx	"Hmm." (NPC male 5)
C00_147.adx	"Yeah." (NPC male 5)
C00_148.adx	"Hey."  (NPC female 3)
C00_149.adx	"Mmm hmm." (NPC female 3)
C00_150.adx	"Hmm." (NPC female 3)
C00_151.adx	"Yeah." (NPC female 3)
C00_152.adx	"Mama!" (NPC Lucy? Regan's daughter)
C00_153.adx	"Ok." (sad - NPC Lucy? Regan's daughter)
C00_154.adx	"Ok." (confident - Lucy? Regan's daughter)
C00_155.adx	"Thank you." (NPC Lucy? Regan's daughter)

C00_170.adx	"Come on!" (NPC male 1)
C00_171.adx	"Come on!" (NPC male 1)
C00_172.adx	"Go! (NPC male 1)
C00_173.adx	"Go!" (NPC male 1)
C00_174.adx	"Help!" (NPC male 1)
C00_175.adx	"Help!" (NPC male 1)
C00_176.adx	"Thanks!" (NPC male 1)
C00_177.adx	"Thanks!" (NPC male 1)
C00_178.adx	"Wait!" (NPC male 1)
C00_179.adx	"Wait!" (NPC male 1)
C00_180.adx	"Yes." (NPC male 1)
C00_181.adx	"Yes." (NPC male 1)
C00_182.adx	"No." (NPC male 1)
C00_183.adx	"No!" (NPC male 1)
C00_184.adx	"Hey." (NPC male 1)
C00_185.adx	"Hey." (NPC male 1)
C00_186.adx	"Hey." (NPC male 1)
C00_187.adx	"Hey." (NPC male 1)
C00_188.adx	"Hey." (NPC male 1)
C00_189.adx	"Hey." (NPC male 1)
C00_190.adx	"Sorry." (NPC male 1)
C00_191.adx	"Sorry." (NPC male 1)
C00_192.adx	"Mmm hmm." (NPC male 1)
C00_193.adx	"Mmm hmm." (NPC male 1)
C00_194.adx	"Hmm." (NPC male 1)
C00_195.adx	"Hmm." (NPC male 1)
C00_196.adx	"Yeah." (NPC male 1)
C00_197.adx	"Yeah." (NPC male 1)
