Biohazard Outbreak File 2
Jim voice files = NETBIO01.DAT -> adxsnd.afs -> vo00202.afs

Document created by hill73n
Document status: incomplete
To do: complete transcription; list file size and max space reserved.

vo00202.afs	Jim
C02_073.adx	"
C02_074.adx	"
C02_075.adx	"
C02_076.adx	"
C02_077.adx	"
C02_078.adx	"
C02_079.adx	"
C02_080.adx	"
C02_081.adx	"
C02_082.adx	"
C02_083.adx	"
C02_084.adx	"
C02_085.adx	"
C02_086.adx	"
C02_087.adx	"
C02_088.adx	"
C02_089.adx	"
C02_090.adx	"
C02_091.adx	(zombie groan)
C02_092.adx	(zombie groan)
C02_093.adx	(cough)
C02_094.adx	(gasp)
C02_095.adx	(choke)
C02_096.adx	(gasp)
C02_097.adx	(gasp)
C02_098.adx	(gasp)
C02_099.adx	(gasp)
C02_100.adx	(scream)
C02_101.adx	(scream)
C02_102.adx	"Huh?"
C02_103.adx	"Hmpf?"
C02_104.adx	(hyperventillating)
C02_105.adx	(hyperventillating)
C02_106.adx	(gasping in pain)
C02_107.adx	(exhausted heavy breathing)
C02_108.adx	(exhausted heavy breathing)
C02_109.adx	(exhausted heavy breathing)
C02_110.adx	(exhausted heavy breathing)
C02_111.adx	(exhausted heavy breathing)

C02_120.adx	"Hey." (NPC female 1)
C02_121.adx	"Mmm hmm." (NPC female 1)
C02_122.adx	"Hmm." (NPC female 1)
C02_123.adx	"Yeah." (NPC female 1)
C02_124.adx	"Hey."  (NPC male 1)
C02_125.adx	"Mmm hmm." (NPC male 1)
C02_126.adx	"Hmm." (NPC male 1)
C02_127.adx	"Yeah." (NPC female 1)
C02_128.adx	"Hey."  (NPC male 2)
C02_129.adx	"Mmm hmm." (NPC male 2)
C02_130.adx	"Hmm." (NPC male 2)
C02_131.adx	"Yeah." (NPC male 2)
C02_132.adx	"Hey."  (NPC male 3)
C02_133.adx	"Mmm hmm." (NPC male 3)
C02_134.adx	"Hmm." (NPC male 3)
C02_135.adx	"Yeah." (NPC male 3)
C02_136.adx	"Hey."  (NPC female 2)
C02_137.adx	"Mmm hmm." (NPC female 2)
C02_138.adx	"Hmm." (NPC female 2)
C02_139.adx	"Yeah." (NPC female 2)
C02_140.adx	"Hey."  (NPC male 4)
C02_141.adx	"Mmm hmm." (NPC male 4)
C02_142.adx	"Hmm." (NPC male 4)
C02_143.adx	"Yeah." (NPC male 4)
C02_144.adx	"Hey."  (NPC male 5)
C02_145.adx	"Mmm hmm." (NPC male 5)
C02_146.adx	"Hmm." (NPC male 5)
C02_147.adx	"Yeah." (NPC male 5)
C02_148.adx	"Hey."  (NPC female 3)
C02_149.adx	"Mmm hmm." (NPC female 3)
C02_150.adx	"Hmm." (NPC female 3)
C02_151.adx	"Yeah." (NPC female 3)
C02_152.adx	"Mama!" (NPC Lucy? Regan's daughter)
C02_153.adx	"Ok." (sad - NPC Lucy? Regan's daughter)
C02_154.adx	"Ok." (confident - Lucy? Regan's daughter)
C02_155.adx	"Thank you." (NPC Lucy? Regan's daughter)

C02_170.adx	"Come on!" (NPC male 3)
C02_171.adx	"Come on!" (NPC male 3)
C02_172.adx	"Go! (NPC male 3)
C02_173.adx	"Go!" (NPC male 3)
C02_174.adx	"Help!" (NPC male 3)
C02_175.adx	"Help!" (NPC male 3)
C02_176.adx	"Thanks!" (NPC male 3)
C02_177.adx	"Thanks!" (NPC male 3)
C02_178.adx	"Wait!" (NPC male 3)
C02_179.adx	"Wait!" (NPC male 3)
C02_180.adx	"Yes." (NPC male 3)
C02_181.adx	"Yes." (NPC male 3)
C02_182.adx	"No." (NPC male 3)
C02_183.adx	"No!" (NPC male 3)
C02_184.adx	"Hey." (NPC male 3)
C02_185.adx	"Hey." (NPC male 3)
C02_186.adx	"Hey." (NPC male 3)
C02_187.adx	"Hey." (NPC male 3)
C02_188.adx	"Hey." (NPC male 3)
C02_189.adx	"Hey." (NPC male 3)
C02_190.adx	"Sorry." (NPC male 3)
C02_191.adx	"Sorry." (NPC male 3)
C02_192.adx	"Mmm hmm." (NPC male 3)
C02_193.adx	"Mmm hmm." (NPC male 3)
C02_194.adx	"Hmm." (NPC male 3)
C02_195.adx	"Hmm." (NPC male 3)
C02_196.adx	"Yeah." (NPC male 3)
C02_197.adx	"Yeah." (NPC male 3)
